,Date,Sg. Golok (m)
245,2016-02-09,5.26
246,2016-03-09,5.24
247,2016-04-09,5.75
248,2016-05-09,6.36
249,2016-06-09,6.2
250,2016-07-09,5.73
251,2016-08-09,5.6
252,2016-09-09,5.6
253,2016-10-09,5.82
254,2016-11-09,5.8
255,2016-12-09,5.48
256,2016-09-13,5.27
257,2016-09-14,5.19
258,2016-09-15,5.11
259,2016-09-16,5.21
260,2016-09-17,5.22
261,2016-09-18,5.03
262,2016-09-19,4.9
263,2016-09-20,4.77
264,2016-09-21,4.73
265,2016-09-22,5.23
266,2016-09-23,5.31
267,2016-09-24,5.01
268,2016-09-25,4.84
269,2016-09-26,4.74
270,2016-09-27,4.66
271,2016-09-28,4.58
272,2016-09-29,4.53
273,2016-09-30,5.98
274,2016-01-10,4.44
275,2016-02-10,4.43
276,2016-03-10,4.56
277,2016-04-10,4.72
278,2016-05-10,4.78
279,2016-06-10,4.84
280,2016-07-10,4.9
281,2016-08-10,4.96
282,2016-09-10,5.02
283,2016-10-10,5.0
284,2016-11-10,4.87
285,2016-12-10,4.77
286,2016-10-13,4.68
287,2016-10-14,4.67
288,2016-10-15,4.62
289,2016-10-16,4.54
290,2016-10-17,4.45
291,2016-10-18,4.41
292,2016-10-19,4.46
293,2016-10-20,4.65
294,2016-10-21,5.03
295,2016-10-22,5.41
296,2016-10-23,5.55
297,2016-10-24,5.3
298,2016-10-25,5.02
299,2016-10-26,4.87
300,2016-10-27,5.16
301,2016-10-28,5.39
302,2016-10-29,5.33
303,2016-10-30,5.85
304,2016-10-31,5.85
305,2016-01-11,6.05
306,2016-02-11,5.8
307,2016-03-11,5.6
308,2016-04-11,5.54
309,2016-05-11,5.59
310,2016-06-11,5.55
311,2016-07-11,5.49
312,2016-08-11,5.34
313,2016-09-11,5.66
314,2016-10-11,5.91
315,2016-11-11,5.87
316,2016-12-11,5.82
317,2016-11-13,6.11
318,2016-11-14,5.87
319,2016-11-15,5.58
320,2016-11-16,5.91
321,2016-11-17,6.12
322,2016-11-18,5.88
323,2016-11-19,5.75
324,2016-11-20,5.57
325,2016-11-21,6.04
326,2016-11-22,5.94
327,2016-11-23,5.52
328,2016-11-24,5.33
329,2016-11-25,5.26
330,2016-11-26,5.29
331,2016-11-27,5.51
332,2016-11-28,5.45
333,2016-11-29,5.52
334,2016-11-30,6.27
335,2016-01-12,5.98
336,2016-02-12,7.38
337,2016-03-12,8.49
338,2016-04-12,7.98
339,2016-05-12,7.21
340,2016-06-12,6.7
341,2016-07-12,6.67
342,2016-08-12,6.51
343,2016-09-12,6.21
344,2016-10-12,6.29
345,2016-11-12,6.15
346,2016-12-12,5.72
347,2016-12-13,5.34
348,2016-12-14,5.13
349,2016-12-15,4.97
350,2016-12-16,4.74
351,2016-12-17,4.6
352,2016-12-18,5.22
353,2016-12-19,5.82
354,2016-12-20,6.98
355,2016-12-21,8.86
356,2016-12-22,8.99
357,2016-12-23,8.38
358,2016-12-24,8.23
359,2016-12-25,8.67
360,2016-12-26,8.68
361,2016-12-27,8.21
362,2016-12-28,7.45
363,2016-12-29,6.73
364,2016-12-30,6.73
365,2016-12-31,6.73
366,2017-01-01,9.02
367,2017-02-01,10.14
368,2017-03-01,10.33
369,2017-04-01,10.35
370,2017-05-01,10.13
371,2017-06-01,9.83
372,2017-07-01,9.37
373,2017-08-01,8.76
374,2017-09-01,8.04
375,2017-10-01,7.2
376,2017-11-01,6.55
377,2017-12-01,6.11
378,2017-01-13,5.8
379,2017-01-14,5.55
380,2017-01-15,5.32
381,2017-01-16,5.15
382,2017-01-17,5.13
383,2017-01-18,5.34
