,Date,Sg. Besut Jerteh (m)
1078,2018-12-14,2.26
1079,2018-12-15,3.95
1080,2018-12-16,2.73
1081,2018-12-17,2.56
1082,2018-12-18,2.0
1083,2018-12-19,1.64
1084,2018-12-20,1.46
1085,2018-12-21,1.12
1086,2018-12-22,1.24
1087,2018-12-23,1.09
1088,2018-12-24,1.07
1089,2018-12-25,1.05
1090,2018-12-26,1.02
1091,2018-12-27,0.91
1092,2018-12-28,0.94
1093,2018-12-29,0.94
1094,2018-12-30,0.94
1095,2018-12-31,0.94
1096,2019-01-01,0.85
1097,2019-02-01,0.86
1098,2019-03-01,1.07
1099,2019-04-01,0.94
1100,2019-05-01,0.88
1101,2019-06-01,0.79
1102,2019-07-01,1.01
1103,2019-08-01,0.98
1104,2019-09-01,1.02
1105,2019-10-01,1.09
1106,2019-11-01,0.73
1107,2019-12-01,0.92
1108,2019-01-13,1.2
1109,2019-01-14,0.94
1110,2019-01-15,0.69
1111,2019-01-16,0.8
1112,2019-01-17,1.21
1113,2019-01-18,1.24
1114,2019-01-19,1.13
1115,2019-01-20,0.93
1116,2019-01-21,1.12
1117,2019-01-22,2.26
1118,2019-01-23,2.28
1119,2019-01-24,2.25
1120,2019-01-25,2.31
1121,2019-01-26,2.33
1122,2019-01-27,2.15
1123,2019-01-28,2.17
1124,2019-01-29,2.27
1125,2019-01-30,2.27
1126,2019-01-31,2.17
1127,2019-01-02,2.21
1128,2019-02-02,2.29
1129,2019-03-02,2.46
1130,2019-04-02,2.21
1131,2019-05-02,2.14
1132,2019-06-02,2.23
1133,2019-07-02,2.21
1134,2019-08-02,2.14
1135,2019-09-02,2.13
1136,2019-10-02,2.19
1137,2019-11-02,2.18
1138,2019-12-02,2.17
1139,2019-02-13,2.35
1140,2019-02-14,2.41
1141,2019-02-15,2.22
1142,2019-02-16,2.21
1143,2019-02-17,2.15
1144,2019-02-18,2.16
1145,2019-02-19,2.14
1146,2019-02-20,2.2
1147,2019-02-21,2.13
1148,2019-02-22,2.07
1149,2019-02-23,2.15
1150,2019-02-24,2.18
1151,2019-02-25,2.08
1152,2019-02-26,2.08
1153,2019-02-27,2.07
1154,2019-02-28,2.08
1155,2019-01-03,2.06
1156,2019-02-03,2.05
1157,2019-03-03,2.05
1158,2019-04-03,2.04
1159,2019-05-03,2.06
1160,2019-06-03,2.04
1161,2019-07-03,2.04
1162,2019-08-03,2.04
1163,2019-09-03,2.04
1164,2019-10-03,2.04
1165,2019-11-03,2.04
1166,2019-12-03,2.04
1167,2019-03-13,2.03
1168,2019-03-14,2.02
1169,2019-03-15,2.02
1170,2019-03-16,2.01
1171,2019-03-17,1.96
1172,2019-03-18,2.0
1173,2019-03-19,2.01
1174,2019-03-20,2.01
1175,2019-03-21,2.01
1176,2019-03-22,2.01
1177,2019-03-23,2.0
1178,2019-03-24,2.0
1179,2019-03-25,2.0
1180,2019-03-26,2.01
1181,2019-03-27,2.01
1182,2019-03-28,2.01
1183,2019-03-29,1.81
1184,2019-03-30,1.77
1185,2019-03-31,2.05
1186,2019-01-04,2.01
1187,2019-02-04,2.01
1188,2019-03-04,2.01
1189,2019-04-04,2.01
1190,2019-05-04,2.01
1191,2019-06-04,2.01
1192,2019-07-04,2.01
1193,2019-08-04,2.01
1194,2019-09-04,2.0
1195,2019-10-04,2.0
1196,2019-11-04,2.0
1197,2019-12-04,2.01
1198,2019-04-13,2.04
1199,2019-04-14,2.16
1200,2019-04-15,2.13
1201,2019-04-16,2.09
1202,2019-04-17,2.01
1203,2019-04-18,2.01
1204,2019-04-19,2.0
1205,2019-04-20,2.0
1206,2019-04-21,1.99
1207,2019-04-22,1.97
1208,2019-04-23,1.93
1209,2019-04-24,1.92
1210,2019-04-25,1.91
1211,2019-04-26,1.95
1212,2019-04-27,2.06
1213,2019-04-28,2.01
1214,2019-04-29,1.92
1215,2019-04-30,1.93
1216,2019-01-05,2.07
1217,2019-02-05,1.98
1218,2019-03-05,1.91
1219,2019-04-05,1.91
1220,2019-05-05,1.92
1221,2019-06-05,1.91
1222,2019-07-05,1.9
1223,2019-08-05,1.99
1224,2019-09-05,2.01
1225,2019-10-05,2.0
1226,2019-11-05,2.0
1227,2019-12-05,2.0
1228,2019-05-13,2.01
1229,2019-05-14,2.01
1230,2019-05-15,2.02
1231,2019-05-16,2.07
1232,2019-05-17,2.08
1233,2019-05-18,2.08
1234,2019-05-19,2.09
1235,2019-05-20,2.08
1236,2019-05-21,2.04
1237,2019-05-22,2.01
1238,2019-05-23,1.96
1239,2019-05-24,1.93
1240,2019-05-25,2.08
1241,2019-05-26,2.11
1242,2019-05-27,2.01
1243,2019-05-28,1.94
1244,2019-05-29,0.64
1245,2019-05-30,0.75
1246,2019-05-31,2.12
1247,2019-01-06,2.07
1248,2019-02-06,2.05
1249,2019-03-06,2.03
1250,2019-04-06,1.41
1251,2019-05-06,1.87
1252,2019-06-06,2.51
1253,2019-07-06,2.53
1254,2019-08-06,2.16
1255,2019-09-06,2.12
1256,2019-10-06,1.65
1257,2019-11-06,0.97
1258,2019-12-06,1.59
1259,2019-06-13,2.07
1260,2019-06-14,2.09
1261,2019-06-15,2.27
1262,2019-06-16,2.18
1263,2019-06-17,2.39
1264,2019-06-18,2.43
1265,2019-06-19,2.53
1266,2019-06-20,2.19
1267,2019-06-21,2.18
1268,2019-06-22,2.18
1269,2019-06-23,2.22
1270,2019-06-24,2.15
1271,2019-06-25,1.98
1272,2019-06-26,2.6
1273,2019-06-27,2.0
1274,2019-06-28,0.92
1275,2019-06-29,2.03
1276,2019-06-30,2.03
1277,2019-01-07,0.58
1278,2019-02-07,0.41
1279,2019-03-07,0.6
1280,2019-04-07,1.38
1281,2019-05-07,1.87
1282,2019-06-07,2.09
1283,2019-07-07,2.13
1284,2019-08-07,2.09
1285,2019-09-07,2.19
1286,2019-10-07,2.09
1287,2019-11-07,2.06
1288,2019-12-07,2.07
1289,2019-07-13,2.09
1290,2019-07-14,2.21
1291,2019-07-15,2.35
1292,2019-07-16,2.08
1293,2019-07-17,2.09
1294,2019-07-18,2.12
1295,2019-07-19,2.09
1296,2019-07-20,2.07
1297,2019-07-21,2.12
1298,2019-07-22,2.11
1299,2019-07-23,2.04
1300,2019-07-24,2.21
1301,2019-07-25,2.14
1302,2019-07-26,2.06
1303,2019-07-27,2.05
1304,2019-07-28,2.05
1305,2019-07-29,2.09
1306,2019-07-30,2.21
1307,2019-07-31,2.02
1308,2019-01-08,2.07
1309,2019-02-08,2.03
1310,2019-03-08,2.02
1311,2019-04-08,2.02
1312,2019-05-08,2.01
1313,2019-06-08,2.01
1314,2019-07-08,2.0
1315,2019-08-08,2.0
1316,2019-09-08,2.0
1317,2019-10-08,2.01
1318,2019-11-08,2.09
1319,2019-12-08,2.34
1320,2019-08-13,2.16
1321,2019-08-14,2.09
1322,2019-08-15,2.09
1323,2019-08-16,2.09
1324,2019-08-17,2.08
1325,2019-08-18,2.1
1326,2019-08-19,2.06
1327,2019-08-20,2.04
1328,2019-08-21,2.05
1329,2019-08-22,2.06
1330,2019-08-23,2.05
1331,2019-08-24,2.18
1332,2019-08-25,2.5
1333,2019-08-26,2.16
1334,2019-08-27,2.11
1335,2019-08-28,2.1
1336,2019-08-29,2.03
1337,2019-08-30,2.03
1338,2019-08-31,2.03
1339,2019-01-09,2.06
1340,2019-02-09,2.05
1341,2019-03-09,2.06
1342,2019-04-09,2.1
1343,2019-05-09,2.2
1344,2019-06-09,2.11
1345,2019-07-09,2.12
1346,2019-08-09,2.17
1347,2019-09-09,2.16
1348,2019-10-09,2.1
1349,2019-11-09,2.08
1350,2019-12-09,2.07
1351,2019-09-13,0.9
1352,2019-09-14,0.26
1353,2019-09-15,0.84
1354,2019-09-16,1.51
1355,2019-09-17,2.02
1356,2019-09-18,2.13
1357,2019-09-19,2.08
1358,2019-09-20,2.05
1359,2019-09-21,2.05
1360,2019-09-22,2.04
1361,2019-09-23,2.04
1362,2019-09-24,2.04
1363,2019-09-25,2.07
1364,2019-09-26,1.77
1365,2019-09-27,2.01
1366,2019-09-28,2.04
1367,2019-09-29,2.21
1368,2019-09-30,2.17
1369,2019-01-10,2.04
1370,2019-02-10,1.95
1371,2019-03-10,2.06
1372,2019-04-10,2.09
1373,2019-05-10,2.13
1374,2019-06-10,2.11
1375,2019-07-10,2.1
1376,2019-08-10,2.08
1377,2019-09-10,2.08
1378,2019-10-10,2.2
1379,2019-11-10,2.35
1380,2019-12-10,2.17
1381,2019-10-13,1.99
1382,2019-10-14,2.1
1383,2019-10-15,2.35
1384,2019-10-16,2.38
1385,2019-10-17,2.27
1386,2019-10-18,2.2
1387,2019-10-19,2.14
1388,2019-10-20,2.09
1389,2019-10-21,2.08
1390,2019-10-22,2.08
1391,2019-10-23,2.11
1392,2019-10-24,2.2
1393,2019-10-25,2.24
1394,2019-10-26,2.23
1395,2019-10-27,2.22
1396,2019-10-28,2.21
1397,2019-10-29,7.22
1398,2019-10-30,7.23
1399,2019-10-31,7.23
1400,2019-01-11,2.43
1401,2019-02-11,2.32
1402,2019-03-11,2.31
1403,2019-04-11,2.43
1404,2019-05-11,2.72
1405,2019-06-11,2.58
1406,2019-07-11,2.36
1407,2019-08-11,2.35
1408,2019-09-11,2.56
1409,2019-10-11,2.49
1410,2019-11-11,2.58
1411,2019-12-11,2.54
1412,2019-11-13,2.69
1413,2019-11-14,1.87
1414,2019-11-15,1.04
1415,2019-11-16,0.9
1416,2019-11-17,0.83
1417,2019-11-18,0.71
1418,2019-11-19,0.56
1419,2019-11-20,0.63
1420,2019-11-21,0.6
1421,2019-11-22,1.05
1422,2019-11-23,1.16
1423,2019-11-24,0.92
1424,2019-11-25,0.96
1425,2019-11-26,0.98
1426,2019-11-27,2.88
1427,2019-11-28,4.17
1428,2019-11-29,2.06
1429,2019-11-30,2.09
1430,2019-01-12,7.33
1431,2019-02-12,7.58
1432,2019-03-12,3.9
1433,2019-04-12,1.49
1434,2019-05-12,1.73
1435,2019-06-12,1.59
1436,2019-07-12,1.15
1437,2019-08-12,2.1
1438,2019-09-12,1.36
1439,2019-10-12,1.06
1440,2019-11-12,1.12
1441,2019-12-12,0.99
1442,2019-12-13,0.95
1443,2019-12-14,1.27
1444,2019-12-15,1.94
1445,2019-12-16,2.57
1446,2019-12-17,2.79
1447,2019-12-18,5.84
1448,2019-12-19,3.56
1449,2019-12-20,1.57
1450,2019-12-21,1.82
1451,2019-12-22,1.41
1452,2019-12-23,2.12
1453,2019-12-24,2.37
1454,2019-12-25,2.32
1455,2019-12-26,2.19
1456,2019-12-27,2.23
1457,2019-12-28,2.17
1458,2019-12-29,2.17
1459,2019-12-30,2.17
1460,2019-12-31,2.17
1461,2020-01-01,2.09
1462,2020-02-01,2.09
1463,2020-03-01,2.19
1464,2020-04-01,2.19
1465,2020-05-01,2.06
1466,2020-06-01,0.73
1467,2020-07-01,0.88
1468,2020-08-01,1.72
1469,2020-09-01,2.03
1470,2020-10-01,1.9
1471,2020-11-01,2.04
1472,2020-12-01,1.82
1473,2020-01-13,1.93
1474,2020-01-14,1.85
1475,2020-01-15,1.84
1476,2020-01-16,1.85
1477,2020-01-17,1.92
1478,2020-01-18,2.01
1479,2020-01-19,2.04
1480,2020-01-20,2.02
1481,2020-01-21,2.01
1482,2020-01-22,1.95
1483,2020-01-23,1.88
1484,2020-01-24,1.87
1485,2020-01-25,1.86
1486,2020-01-26,1.86
1487,2020-01-27,1.85
1488,2020-01-28,1.82
1489,2020-01-29,1.8
1490,2020-01-30,1.81
1491,2020-01-31,1.83
1492,2020-01-02,1.88
1493,2020-02-02,1.94
1494,2020-03-02,1.83
1495,2020-04-02,1.25
1496,2020-05-02,1.16
1497,2020-06-02,1.14
1498,2020-07-02,1.14
1499,2020-08-02,1.14
1500,2020-09-02,1.2
1501,2020-10-02,1.76
1502,2020-11-02,1.66
1503,2020-12-02,1.42
1504,2020-02-13,1.16
1505,2020-02-14,0.36
1506,2020-02-15,1.34
1507,2020-02-16,1.4
1508,2020-02-17,1.36
1509,2020-02-18,1.58
1510,2020-02-19,1.0
1511,2020-02-20,1.32
1512,2020-02-21,1.26
1513,2020-02-22,1.52
1514,2020-02-23,1.01
1515,2020-02-24,1.87
1516,2020-02-25,1.08
1517,2020-02-26,1.3
1518,2020-02-27,1.41
1519,2020-02-28,1.28
1520,2020-02-29,1.3
1521,2020-01-03,1.3
1522,2020-02-03,1.22
1523,2020-03-03,1.22
1524,2020-04-03,1.26
1525,2020-05-03,1.25
1526,2020-06-03,1.25
1527,2020-07-03,1.19
1528,2020-08-03,1.19
1529,2020-09-03,1.25
1530,2020-10-03,1.16
1531,2020-11-03,1.13
1532,2020-12-03,1.16
1533,2020-03-13,1.21
1534,2020-03-14,1.18
1535,2020-03-15,1.09
1536,2020-03-16,1.14
1537,2020-03-17,1.19
1538,2020-03-18,1.07
1539,2020-03-19,1.1
1540,2020-03-20,1.12
1541,2020-03-21,1.12
1542,2020-03-22,1.13
1543,2020-03-23,1.12
1544,2020-03-24,1.12
1545,2020-03-25,1.12
1546,2020-03-26,1.12
1547,2020-03-27,1.06
1548,2020-03-28,1.02
1549,2020-03-29,1.06
1550,2020-03-30,1.08
1551,2020-03-31,2.06
1552,2020-01-04,1.1
1553,2020-02-04,1.05
1554,2020-03-04,1.05
1555,2020-04-04,1.11
1556,2020-05-04,1.16
1557,2020-06-04,1.18
1558,2020-07-04,1.16
1559,2020-08-04,1.16
1560,2020-09-04,1.15
1561,2020-10-04,1.15
1562,2020-11-04,1.16
1563,2020-12-04,1.15
1564,2020-04-13,1.15
1565,2020-04-14,1.14
1566,2020-04-15,1.14
1567,2020-04-16,1.13
1568,2020-04-17,1.13
1569,2020-04-18,1.14
1570,2020-04-19,1.12
1571,2020-04-20,1.06
1572,2020-04-21,1.05
1573,2020-04-22,1.05
1574,2020-04-23,1.06
1575,2020-04-24,1.06
1576,2020-04-25,1.07
1577,2020-04-26,1.07
1578,2020-04-27,1.08
1579,2020-04-28,1.1
1580,2020-04-29,1.09
1581,2020-04-30,2.14
1582,2020-01-05,1.08
1583,2020-02-05,1.12
1584,2020-03-05,1.16
1585,2020-04-05,1.16
1586,2020-05-05,1.16
1587,2020-06-05,1.16
1588,2020-07-05,1.15
1589,2020-08-05,1.15
1590,2020-09-05,1.15
1591,2020-10-05,1.15
1592,2020-11-05,1.15
1593,2020-12-05,1.15
1594,2020-05-13,1.12
1595,2020-05-14,1.05
1596,2020-05-15,1.01
1597,2020-05-16,0.99
1598,2020-05-17,1.08
1599,2020-05-18,1.25
1600,2020-05-19,1.87
1601,2020-05-20,2.1
1602,2020-05-21,2.1
1603,2020-05-22,2.09
1604,2020-05-23,2.03
1605,2020-05-24,2.03
1606,2020-05-25,2.12
1607,2020-05-26,2.14
1608,2020-05-27,2.1
1609,2020-05-28,2.02
1610,2020-05-29,2.04
1611,2020-05-30,2.16
1612,2020-05-31,2.19
1613,2020-01-06,2.15
1614,2020-02-06,2.16
1615,2020-03-06,2.16
1616,2020-04-06,2.13
1617,2020-05-06,2.18
1618,2020-06-06,2.23
1619,2020-07-06,2.29
1620,2020-08-06,2.46
1621,2020-09-06,2.19
1622,2020-10-06,2.57
1623,2020-11-06,2.26
1624,2020-12-06,2.22
1625,2020-06-13,2.26
1626,2020-06-14,2.11
1627,2020-06-15,2.16
1628,2020-06-16,2.22
1629,2020-06-17,2.21
1630,2020-06-18,2.24
1631,2020-06-19,2.18
1632,2020-06-20,2.25
1633,2020-06-21,2.32
1634,2020-06-22,2.22
1635,2020-06-23,2.27
1636,2020-06-24,2.18
1637,2020-06-25,2.21
1638,2020-06-26,2.32
1639,2020-06-27,2.31
1640,2020-06-28,2.21
1641,2020-06-29,2.16
1642,2020-06-30,2.34
1643,2020-01-07,2.41
1644,2020-02-07,2.66
1645,2020-03-07,2.27
1646,2020-04-07,2.48
1647,2020-05-07,2.27
1648,2020-06-07,2.22
1649,2020-07-07,2.2
1650,2020-08-07,2.33
1651,2020-09-07,2.32
1652,2020-10-07,2.51
1653,2020-11-07,2.28
1654,2020-12-07,2.53
1655,2020-07-13,2.37
1656,2020-07-14,2.14
1657,2020-07-15,2.28
1658,2020-07-16,2.4
1659,2020-07-17,2.3
1660,2020-07-18,2.31
1661,2020-07-19,2.3
1662,2020-07-20,2.29
1663,2020-07-21,2.24
1664,2020-07-22,2.32
1665,2020-07-23,2.23
1666,2020-07-24,2.4
1667,2020-07-25,2.36
1668,2020-07-26,2.31
1669,2020-07-27,2.38
1670,2020-07-28,2.28
1671,2020-07-29,2.27
1672,2020-07-30,2.18
1673,2020-07-31,2.18
1674,2020-01-08,2.2
1675,2020-02-08,2.32
1676,2020-03-08,2.23
1677,2020-04-08,2.19
1678,2020-05-08,2.2
1679,2020-06-08,2.23
1680,2020-07-08,2.17
1681,2020-08-08,2.18
1682,2020-09-08,2.2
1683,2020-10-08,2.25
1684,2020-11-08,2.26
1685,2020-12-08,2.22
1686,2020-08-13,2.21
1687,2020-08-14,2.28
1688,2020-08-15,2.15
1689,2020-08-16,2.12
1690,2020-08-17,2.21
1691,2020-08-18,2.16
1692,2020-08-19,2.28
1693,2020-08-20,2.21
1694,2020-08-21,2.33
1695,2020-08-22,2.48
1696,2020-08-23,2.27
1697,2020-08-24,2.24
1698,2020-08-25,2.23
1699,2020-08-26,2.18
1700,2020-08-27,2.17
1701,2020-08-28,2.22
1702,2020-08-29,2.22
1703,2020-08-30,2.02
1704,2020-08-31,2.02
1705,2020-01-09,2.2
1706,2020-02-09,2.18
1707,2020-03-09,2.17
1708,2020-04-09,2.18
1709,2020-05-09,2.23
1710,2020-06-09,2.36
1711,2020-07-09,2.32
1712,2020-08-09,2.28
1713,2020-09-09,2.26
1714,2020-10-09,2.21
1715,2020-11-09,2.28
1716,2020-12-09,2.3
1717,2020-09-13,2.28
1718,2020-09-14,2.29
1719,2020-09-15,2.4
1720,2020-09-16,2.23
1721,2020-09-17,2.21
1722,2020-09-18,2.21
1723,2020-09-19,2.17
1724,2020-09-20,2.31
1725,2020-09-21,2.28
1726,2020-09-22,2.15
1727,2020-09-23,2.09
1728,2020-09-24,2.14
1729,2020-09-25,2.19
1730,2020-09-26,2.19
1731,2020-09-27,2.25
1732,2020-09-28,2.62
1733,2020-09-29,2.23
1734,2020-09-30,1.79
1735,2020-01-10,1.99
1736,2020-02-10,2.0
1737,2020-03-10,2.13
1738,2020-04-10,2.42
1739,2020-05-10,2.46
1740,2020-06-10,2.55
1741,2020-07-10,2.36
1742,2020-08-10,2.52
1743,2020-09-10,2.39
1744,2020-10-10,2.34
1745,2020-11-10,2.4
1746,2020-12-10,2.38
1747,2020-10-13,1.54
1748,2020-10-14,1.65
1749,2020-10-15,2.26
1750,2020-10-16,2.24
1751,2020-10-17,2.22
1752,2020-10-18,2.33
1753,2020-10-19,2.34
1754,2020-10-20,2.4
1755,2020-10-21,2.37
1756,2020-10-22,2.08
1757,2020-10-23,1.98
1758,2020-10-24,2.02
1759,2020-10-25,2.29
1760,2020-10-26,2.35
1761,2020-10-27,2.11
1762,2020-10-28,1.97
1763,2020-10-29,1.84
1764,2020-10-30,1.31
1765,2020-10-31,1.31
1766,2020-01-11,2.05
1767,2020-02-11,2.08
1768,2020-03-11,1.76
1769,2020-04-11,1.76
1770,2020-05-11,1.88
1771,2020-06-11,1.88
1772,2020-07-11,1.94
1773,2020-08-11,1.93
1774,2020-09-11,1.22
1775,2020-10-11,0.98
1776,2020-11-11,0.97
1777,2020-12-11,1.14
1778,2020-11-13,1.19
1779,2020-11-14,0.94
1780,2020-11-15,0.92
1781,2020-11-16,0.94
1782,2020-11-17,1.41
1783,2020-11-18,2.84
1784,2020-11-19,1.06
1785,2020-11-20,0.77
1786,2020-11-21,0.76
1787,2020-11-22,0.79
1788,2020-11-23,1.85
1789,2020-11-24,4.41
1790,2020-11-25,1.76
1791,2020-11-26,1.52
1792,2020-11-27,3.25
1793,2020-11-28,1.82
1794,2020-11-29,1.2
1795,2020-11-30,0.92
1796,2020-01-12,1.29
1797,2020-02-12,1.69
1798,2020-03-12,4.12
1799,2020-04-12,3.52
1800,2020-05-12,1.26
1801,2020-06-12,1.38
1802,2020-07-12,1.12
1803,2020-08-12,1.07
1804,2020-09-12,0.87
1805,2020-10-12,0.8
1806,2020-11-12,0.77
1807,2020-12-12,0.8
1808,2020-12-13,0.72
1809,2020-12-14,0.79
1810,2020-12-15,0.87
1811,2020-12-16,1.66
1812,2020-12-17,4.66
1813,2020-12-18,5.48
1814,2020-12-19,4.65
1815,2020-12-20,3.56
1816,2020-12-21,1.45
1817,2020-12-22,1.68
1818,2020-12-23,1.37
1819,2020-12-24,1.24
1820,2020-12-25,0.97
1821,2020-12-26,1.33
1822,2020-12-27,1.57
1823,2020-12-28,1.0
1824,2020-12-29,1.14
1825,2020-12-30,1.14
1826,2020-12-31,1.14
