Date,Sg. Besut Jerteh (m)
16/10/2016,0.39
17/10/2016,0.39
18/10/2016,0.39
19/10/2016,0.48
20/10/2016,0.67
21/10/2016,0.63
22/10/2016,0.82
23/10/2016,0.64
24/10/2016,0.5
25/10/2016,0.36
26/10/2016,0.31
27/10/2016,0.3
28/10/2016,0.45
29/10/2016,0.51
30/10/2016,1.58
31/10/2016,1.58
1/11/2016,1.12
2/11/2016,0.92
3/11/2016,1.04
4/11/2016,0.74
5/11/2016,0.72
6/11/2016,0.71
7/11/2016,0.83
8/11/2016,1.19
9/11/2016,1.2
10/11/2016,0.9
11/11/2016,0.95
12/11/2016,1
13/11/2016,0.93
14/11/2016,0.95
15/11/2016,0.87
16/11/2016,1.29
17/11/2016,1.46
18/11/2016,1.24
19/11/2016,1.01
20/11/2016,1.06
21/11/2016,1.16
22/11/2016,1.15
23/11/2016,0.58
24/11/2016,0.41
25/11/2016,0.44
26/11/2016,0.55
27/11/2016,0.73
28/11/2016,0.88
29/11/2016,2.14
30/11/2016,1.54
1/12/2016,2.47
2/12/2016,3.3
3/12/2016,2.33
4/12/2016,1.59
5/12/2016,1.37
6/12/2016,1.21
7/12/2016,1.19
8/12/2016,1.2
9/12/2016,1.13
10/12/2016,1.12
11/12/2016,1.12
12/12/2016,1.08
13/12/2016,0.74
14/12/2016,0.7
15/12/2016,0.91
16/12/2016,0.81
17/12/2016,0.81
18/12/2016,0.74
19/12/2016,2.55
20/12/2016,3.72
21/12/2016,1.08
22/12/2016,0.67
23/12/2016,2.05
24/12/2016,2.74
25/12/2016,1.32
26/12/2016,1.82
27/12/2016,1.34
28/12/2016,1.39
29/12/2016,1.14
30/12/2016,1.14
31/12/2016,1.14
1/1/2017,6.07
2/1/2017,6.34
3/1/2017,8.8
4/1/2017,7.33
5/1/2017,3.35
6/1/2017,2.8
7/1/2017,2.46
8/1/2017,2.01
9/1/2017,0.94
10/1/2017,1.71
11/1/2017,1.3
12/1/2017,0.93
13/1/2017,0.96
14/1/2017,0.89
15/1/2017,0.86
16/1/2017,0.74
17/1/2017,1.05
18/1/2017,0.94
19/1/2017,2.81
20/1/2017,5.66
21/1/2017,6.12
22/1/2017,5.04
23/1/2017,3.85
24/1/2017,4.09
25/1/2017,5.31
26/1/2017,4.36
27/1/2017,4.98
28/1/2017,3.44
29/1/2017,1.89
30/1/2017,2.19
31/1/2017,1.82
1/2/2017,1.57
2/2/2017,1.61
3/2/2017,1.73
4/2/2017,1.58
5/2/2017,1.34
6/2/2017,1.44
7/2/2017,1.18
8/2/2017,1.23
9/2/2017,1.12
10/2/2017,1.06
11/2/2017,1.35
12/2/2017,1.02
13/2/2017,1.33
14/2/2017,1.06
15/2/2017,1.42
16/2/2017,1.08
17/2/2017,1.08
18/2/2017,1.66
19/2/2017,1.68
20/2/2017,0.98
21/2/2017,1.07
22/2/2017,0.91
23/2/2017,0.85
24/2/2017,0.86
25/2/2017,0.89
26/2/2017,1.11
27/2/2017,1.94
28/2/2017,1.47
1/3/2017,1.99
2/3/2017,1.88
3/3/2017,1.73
4/3/2017,1.19
5/3/2017,1.15
6/3/2017,1.1
7/3/2017,0.85
8/3/2017,0.99
9/3/2017,0.81
10/3/2017,0.85
11/3/2017,0.78
12/3/2017,0.8
13/3/2017,0.64
14/3/2017,0.74
15/3/2017,0.61
16/3/2017,0.59
17/3/2017,0.63
18/3/2017,0.67
19/3/2017,0.52
20/3/2017,0.65
21/3/2017,0.55
22/3/2017,0.6
23/3/2017,0.57
24/3/2017,0.51
25/3/2017,0.53
26/3/2017,0.54
27/3/2017,0.6
28/3/2017,1.44
29/3/2017,0.56
30/3/2017,0.55
31/3/2017,0.67
1/4/2017,0.65
2/4/2017,0.8
3/4/2017,1.47
4/4/2017,0.98
5/4/2017,0.67
6/4/2017,0.76
7/4/2017,0.71
8/4/2017,0.9
9/4/2017,0.76
10/4/2017,1.01
11/4/2017,0.73
12/4/2017,1
13/4/2017,0.77
14/4/2017,0.75
15/4/2017,0.77
16/4/2017,0.58
17/4/2017,0.59
18/4/2017,0.67
19/4/2017,0.66
20/4/2017,0.58
21/4/2017,0.57
22/4/2017,0.48
23/4/2017,0.63
24/4/2017,0.49
25/4/2017,0.49
26/4/2017,0.51
27/4/2017,0.54
28/4/2017,0.55
29/4/2017,0.75
30/4/2017,0.92
1/5/2017,0.56
2/5/2017,0.55
3/5/2017,0.53
4/5/2017,0.5
5/5/2017,0.69
6/5/2017,0.46
7/5/2017,0.47
8/5/2017,0.45
9/5/2017,0.61
10/5/2017,0.94
11/5/2017,0.54
12/5/2017,0.5
13/5/2017,0.6
14/5/2017,0.64
15/5/2017,0.63
16/5/2017,0.6
17/5/2017,0.58
18/5/2017,0.62
19/5/2017,0.8
20/5/2017,0.86
21/5/2017,0.62
22/5/2017,0.59
23/5/2017,0.73
24/5/2017,0.67
25/5/2017,1.45
26/5/2017,0.61
27/5/2017,0.5
28/5/2017,0.51
29/5/2017,0.52
30/5/2017,0.56
31/5/2017,0.47
1/6/2017,0.6
2/6/2017,0.56
3/6/2017,0.55
4/6/2017,1.18
5/6/2017,0.48
6/6/2017,0.38
7/6/2017,1.1
8/6/2017,0.48
9/6/2017,0.47
10/6/2017,0.99
11/6/2017,0.84
12/6/2017,0.59
13/6/2017,0.58
14/6/2017,0.72
15/6/2017,0.52
16/6/2017,0.54
17/6/2017,0.52
18/6/2017,0.62
19/6/2017,0.76
20/6/2017,0.52
21/6/2017,0.63
22/6/2017,0.55
23/6/2017,0.47
24/6/2017,0.68
25/6/2017,0.68
26/6/2017,0.55
27/6/2017,0.55
28/6/2017,0.53
29/6/2017,0.53
30/6/2017,0.77
1/7/2017,0.44
2/7/2017,0.53
3/7/2017,0.42
4/7/2017,0.74
5/7/2017,1.03
6/7/2017,0.7
7/7/2017,0.57
8/7/2017,0.74
9/7/2017,0.75
10/7/2017,0.69
11/7/2017,0.54
12/7/2017,0.9
13/7/2017,0.83
14/7/2017,1.1
15/7/2017,0.52
16/7/2017,0.56
17/7/2017,0.51
18/7/2017,0.44
19/7/2017,0.48
20/7/2017,0.55
21/7/2017,0.5
22/7/2017,0.52
23/7/2017,0.72
24/7/2017,0.53
25/7/2017,0.58
26/7/2017,0.72
27/7/2017,0.53
28/7/2017,0.46
29/7/2017,0.65
30/7/2017,0.41
31/7/2017,2.22
1/8/2017,1.16
2/8/2017,0.91
3/8/2017,0.56
4/8/2017,1.18
5/8/2017,0.54
6/8/2017,0.6
7/8/2017,0.92
8/8/2017,0.53
9/8/2017,0.78
10/8/2017,0.74
11/8/2017,0.63
12/8/2017,0.7
13/8/2017,0.76
14/8/2017,0.74
15/8/2017,0.97
16/8/2017,1.28
17/8/2017,0.5
18/8/2017,0.4
19/8/2017,0.49
20/8/2017,0.46
21/8/2017,0.43
22/8/2017,0.46
23/8/2017,0.87
24/8/2017,0.91
25/8/2017,0.69
26/8/2017,1.44
27/8/2017,0.65
28/8/2017,0.68
29/8/2017,0.63
30/8/2017,0.62
31/8/2017,0.62
1/9/2017,0.64
2/9/2017,0.89
3/9/2017,0.46
4/9/2017,0.57
5/9/2017,0.68
6/9/2017,0.54
7/9/2017,0.55
8/9/2017,0.57
9/9/2017,0.46
10/9/2017,0.49
11/9/2017,0.67
12/9/2017,0.91
13/9/2017,0.77
14/9/2017,0.97
15/9/2017,1.05
16/9/2017,0.97
17/9/2017,0.67
18/9/2017,0.76
19/9/2017,0.88
20/9/2017,0.73
21/9/2017,0.76
22/9/2017,0.65
23/9/2017,0.73
24/9/2017,0.72
25/9/2017,0.55
26/9/2017,0.69
27/9/2017,0.51
28/9/2017,0.57
29/9/2017,1.13
30/9/2017,1.12
1/10/2017,0.59
2/10/2017,0.65
3/10/2017,1.34
4/10/2017,0.63
5/10/2017,0.63
6/10/2017,0.81
7/10/2017,0.62
8/10/2017,0.63
9/10/2017,0.68
10/10/2017,1.13
11/10/2017,0.67
12/10/2017,0.8
13/10/2017,0.98
14/10/2017,0.66
15/10/2017,0.57
16/10/2017,0.73
17/10/2017,0.83
18/10/2017,0.85
19/10/2017,0.85
20/10/2017,0.8
21/10/2017,0.83
22/10/2017,0.84
23/10/2017,0.9
24/10/2017,1
25/10/2017,0.82
26/10/2017,0.8
27/10/2017,0.83
28/10/2017,0.92
29/10/2017,4.55
30/10/2017,3.21
31/10/2017,3.21
1/11/2017,0.96
2/11/2017,1.03
3/11/2017,1.11
4/11/2017,1.13
5/11/2017,1.59
6/11/2017,2.18
7/11/2017,1.13
8/11/2017,1.26
9/11/2017,1.29
10/11/2017,1.32
11/11/2017,1.16
12/11/2017,1.36
13/11/2017,1.18
14/11/2017,1.07
15/11/2017,1.05
16/11/2017,0.87
17/11/2017,0.77
18/11/2017,0.75
19/11/2017,0.77
20/11/2017,0.76
21/11/2017,0.89
22/11/2017,1
