Date,Sg. Kusial Tanah Merah (m)
9/6/2020,8.96
10/6/2020,9.21
11/6/2020,9.24
12/6/2020,9.21
13/6/2020,9.13
14/6/2020,9.31
15/6/2020,8.89
16/6/2020,8.91
17/6/2020,8.57
18/6/2020,8.29
19/6/2020,8.44
20/6/2020,8.52
21/6/2020,8.48
22/6/2020,8.31
23/6/2020,8.7
24/6/2020,8.43
25/6/2020,8.61
26/6/2020,8.89
27/6/2020,8.7
28/6/2020,8.22
29/6/2020,8.02
30/6/2020,9.16
1/7/2020,7.88
2/7/2020,8.65
3/7/2020,8.42
4/7/2020,8.38
5/7/2020,8.41
6/7/2020,7.98
7/7/2020,7.97
8/7/2020,7.99
9/7/2020,8.24
10/7/2020,8.65
11/7/2020,8.76
12/7/2020,8.92
13/7/2020,11.12
14/7/2020,11.41
15/7/2020,9.84
16/7/2020,8.77
17/7/2020,8.77
18/7/2020,9.44
19/7/2020,9.87
20/7/2020,9.33
21/7/2020,8.9
22/7/2020,8.66
23/7/2020,8.66
24/7/2020,9.62
25/7/2020,9.13
26/7/2020,8.93
27/7/2020,9.01
28/7/2020,9.88
29/7/2020,9.25
30/7/2020,8.44
31/7/2020,9.38
1/8/2020,8.96
2/8/2020,8.81
3/8/2020,8.5
4/8/2020,8.34
5/8/2020,8.26
6/8/2020,8.23
7/8/2020,8.14
8/8/2020,8.12
9/8/2020,8.18
10/8/2020,8.13
11/8/2020,8.15
12/8/2020,8.49
13/8/2020,9.12
14/8/2020,9.04
15/8/2020,8.56
16/8/2020,8.26
17/8/2020,8.34
18/8/2020,8.51
19/8/2020,8.93
20/8/2020,9.22
21/8/2020,9.41
22/8/2020,9.46
23/8/2020,9.91
24/8/2020,8.72
25/8/2020,8.48
26/8/2020,8.28
27/8/2020,8.17
28/8/2020,8.15
29/8/2020,8.29
30/8/2020,8.29
31/8/2020,8.29
1/9/2020,8.43
2/9/2020,8.47
3/9/2020,8.43
4/9/2020,8.33
5/9/2020,8.23
6/9/2020,8.21
7/9/2020,8.45
8/9/2020,8.82
9/9/2020,8.73
10/9/2020,8.68
11/9/2020,8.66
12/9/2020,9
13/9/2020,9.32
14/9/2020,9.51
15/9/2020,9.26
16/9/2020,9.21
17/9/2020,8.59
18/9/2020,8.43
19/9/2020,8.34
20/9/2020,8.75
21/9/2020,8.47
22/9/2020,8.47
23/9/2020,8.47
24/9/2020,8.47
25/9/2020,8.47
26/9/2020,8.47
27/9/2020,8.47
28/9/2020,8.47
29/9/2020,8.47
30/9/2020,8.19
1/10/2020,9.14
2/10/2020,9.14
3/10/2020,8.95
4/10/2020,8.81
5/10/2020,8.61
6/10/2020,8.97
7/10/2020,9.74
8/10/2020,10.69
9/10/2020,9.33
10/10/2020,8.65
11/10/2020,8.7
12/10/2020,8.4
13/10/2020,8.66
14/10/2020,8.84
15/10/2020,8.38
16/10/2020,8.27
17/10/2020,8.17
18/10/2020,8.35
19/10/2020,8.14
20/10/2020,7.98
21/10/2020,8.06
22/10/2020,8.17
23/10/2020,8.37
24/10/2020,8.86
25/10/2020,8.75
26/10/2020,9.43
27/10/2020,9.19
28/10/2020,8.38
29/10/2020,8.17
30/10/2020,11.14
31/10/2020,11.14
1/11/2020,8.83
2/11/2020,8.74
3/11/2020,9.33
4/11/2020,9.29
5/11/2020,8.92
6/11/2020,8.53
7/11/2020,9.06
8/11/2020,9.17
9/11/2020,9.01
10/11/2020,8.85
11/11/2020,8.69
12/11/2020,9.66
13/11/2020,10.73
14/11/2020,9.71
15/11/2020,9.67
16/11/2020,9.26
17/11/2020,9.07
18/11/2020,9.69
19/11/2020,9.98
20/11/2020,9.56
21/11/2020,9.17
22/11/2020,8.94
23/11/2020,9.3
24/11/2020,11.31
25/11/2020,12.73
26/11/2020,11.18
27/11/2020,10.31
28/11/2020,11.72
29/11/2020,11.95
30/11/2020,9.53
1/12/2020,10.13
2/12/2020,9.83
3/12/2020,10.05
4/12/2020,10.55
5/12/2020,10.27
6/12/2020,9.73
7/12/2020,9.4
8/12/2020,9.2
9/12/2020,9.06
10/12/2020,8.97
11/12/2020,8.96
12/12/2020,9
13/12/2020,9.13
14/12/2020,9.24
15/12/2020,9.07
16/12/2020,9.39
17/12/2020,10.85
18/12/2020,14.2
19/12/2020,15.63
20/12/2020,15.85
21/12/2020,14.86
22/12/2020,12.47
23/12/2020,10.66
24/12/2020,10.17
25/12/2020,10.04
26/12/2020,10.24
27/12/2020,10.4
28/12/2020,10.64
29/12/2020,10.1
30/12/2020,10.1
31/12/2020,10.1
